Car Name,Car Webpage,Car Health,Price,Car Exterior Color,Car Interior Color,Miles,Fuel Type,Fuel Efficiency (mileage),EPA Range,Transmission,Drivetrain,Engine,Location,Listing Status,VIN,Stock Number,Accidents,Owners,Car Title Status,Use Type,Vehicle Last Inspected,Make,Model,Trim,Body Class,Model Year,Seating Capacity
2012 Nissan Xterra X RWD Auto,https://www.truecar.com/used-cars-for-sale/listing/5N1AN0NU0CC508789/2012-nissan-xterra/,Used,"$7,995",Avalanche,Gray,"152,186 miles",Gas,16 city / 22 highway,,Automatic Transmission,RWD,4.0L V-6 Gas V,"Savannah, GA (2151 miles away)",Listed 35 days ago,5N1AN0NU0CC508789,14569,0,5,Clean Title,Fleet,1/17/2025,NISSAN,Xterra,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2012,
2018 Tesla Model S 100D,https://www.truecar.com/used-cars-for-sale/listing/5YJSA1E26JF293086/2018-tesla-model-s/,Used,"$22,999",Red Multi-Coat,Black,"71,319 miles",Electric,,335 mi,Automatic Transmission,AWD,L - Electric,"Roswell, GA (1946 miles away)",Listed 35 days ago,5YJSA1E26JF293086,293086EVC,0,2,Clean Title,Personal,1/17/2025,TESLA,Model S,,Hatchback/Liftback/Notchback,2018,5
2023 Ford F-150 Lariat SuperCrew 6.5' Box 2WD,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1C53PFB26328/2023-ford-f-150/,Used,"$35,400",Carbonized Gray Metallic,Black,"27,897 miles",Gas,20 city / 26 highway,,Automatic Transmission,RWD,5.0L V-8 Gas V,"Houston, TX (1370 miles away)",Listed 34 days ago,1FTEW1C53PFB26328,92135,0,1,Clean Title,Personal,1/18/2025,FORD,F-150,SuperCrew,Pickup,2023,
"2017 Ford Transit Cargo Van T-250 with Sliding RH Door 130"" Low Roof 9000 GVWR",https://www.truecar.com/used-cars-for-sale/listing/1FTYR1YG2HKA46848/2017-ford-transit-cargo-van/,Used,"$13,999",Oxford White,Gray,"153,979 miles",Gas,,,Automatic Transmission,RWD,3.5L V-6 Gas V,"Smyrna, GA (1937 miles away)",Listed 64 days ago,1FTYR1YG2HKA46848,A46848,0,4,Clean Title,Fleet,12/19/2024,FORD,Transit,,Cargo Van,2017,
2017 Mercedes-Benz C 300 4MATIC Coupe,https://www.truecar.com/used-cars-for-sale/listing/WDDWJ4KB8HF370169/2017-mercedes-benz-c-class/,Used,"$13,995",Unknown,Unknown,"91,004 miles",Gas,23 city / 29 highway,,Automatic Transmission,AWD,2.0L Inline-4 Gas Inline,"Cumming, GA (1952 miles away)",Listed 20 days ago,WDDWJ4KB8HF370169,J107842A,0,2,Clean Title,Personal,2/1/2025,MERCEDES-BENZ,C-Class,,Coupe,2017,4
2016 Volkswagen Golf GTI Autobahn with Performance Package 4-door DSG,https://www.truecar.com/used-cars-for-sale/listing/3VW447AU6GM014702/2016-volkswagen-golf-gti/,Used,"$18,998",Reflex Silver Metallic,Titan Black,"62,190 miles",Gas,25 city / 33 highway,,Automatic Transmission,FWD,2.0L Inline-4 Gas Inline,"Kennesaw, GA (9 miles away)",Listed 5 days ago,3VW447AU6GM014702,26159971,0,2,Clean Title,Personal,2/16/2025,VOLKSWAGEN,Golf GTI,,Hatchback/Liftback/Notchback,2016,
2020 Hyundai Santa Fe SEL 2.0T FWD,https://www.truecar.com/used-cars-for-sale/listing/5NMS33AA8LH254911/2020-hyundai-santa-fe/,Used,"$18,998",Portofino Gray,Black/Black,"99,359 miles",Gas,20 city / 27 highway,,Automatic Transmission,FWD,2.0L Inline-4 Gas Inline,"Augusta, GA (9 miles away)",Listed 9 days ago,5NMS33AA8LH254911,26496142,0,1,Clean Title,Personal,1/29/2025,HYUNDAI,Santa Fe,SEL,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2020,
2013 Ford F-150 XLT SuperCrew 5.5' Box 4WD,https://www.truecar.com/used-cars-for-sale/listing/1FTFW1EF0DKE01859/2013-ford-f-150/,Used,"$12,694",Ingot Silver Metallic,Black,"109,439 miles",Gas,14 city / 19 highway,,Automatic Transmission,4WD,5.0L V-8 Gas V,"Bryan, OH (1911 miles away)",Listed 205 days ago,1FTFW1EF0DKE01859,71859,0,1,Clean Title,Personal,12/28/2024,FORD,F-150,,Pickup,2013,
2007 Mercedes-Benz E 350 Sedan RWD,https://www.truecar.com/used-cars-for-sale/listing/WDBUF56X27A985521/2007-mercedes-benz-e-class/,Used,"$7,929",Gray,Ash,"81,806 miles",Gas,19 city / 26 highway,,Automatic Transmission,RWD,3.5L V-6 Gas V,"Milledgeville, GA (2020 miles away)",Listed 16 days ago,WDBUF56X27A985521,985521,1 Accident,2,Clean Title,Personal,2/5/2025,MERCEDES-BENZ,E-Class,,Sedan/Saloon,2007,
2016 Subaru Outback 2.5i Limited (PZEV),https://www.truecar.com/used-cars-for-sale/listing/4S4BSAJCXG3299390/2016-subaru-outback/,Used,"$7,988",Twilight Blue Metallic,Warm Ivory,"164,012 miles",Gas,25 city / 33 highway,,Manual Transmission,AWD,2.5L Flat-4 Gas Flat,"ROSEVILLE, CA (361 miles away)",Listed 9 days ago,4S4BSAJCXG3299390,FS123,0,2,Clean Title,Fleet,12/17/2024,SUBARU,Outback,Limited,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2016,
