Car Name,Car Webpage,Car Health,Price,Exterior,Interior,Miles,Fuel Type,Fuel Efficiency (mileage),EPA Range,Transmission,Drivetrain,Engine,Location,Listing Status,VIN,Stock Number,Accidents,Owners,Car Title Status,Use Type,Vehicle Last Inspected
2002 Mercedes-Benz CL 500,https://www.truecar.com/used-cars-for-sale/listing/WDBPJ75J72A027200/2002-mercedes-benz-cl/,Used,"$5,885",Alabaster White,Tan,"154,707 miles",Gas,16 city / 23 highway,,Automatic Transmission,RWD,5.0L V-8 Gas V,"Daly City, CA",Listed 5 days ago,WDBPJ75J72A027200,MBZ200,0,2,Clean Title,Fleet,2/13/2025
2019 Tesla Model 3 Performance Dual Motor,https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB0KF364535/2019-tesla-model-3/,Used,"$22,021",Blue,Blk/Black,"62,642 miles",Electric,,310 mi,Automatic Transmission,AWD,L - Electric,"San Francisco, CA",Listed 38 days ago,5YJ3E1EB0KF364535,KF364535P,0,1,Clean Title,Personal,12/20/2024
2014 Volkswagen Jetta 1.8T SE Sedan Auto,https://www.truecar.com/used-cars-for-sale/listing/3VWD17AJ7EM424839/2014-volkswagen-jetta/,Used,"$8,495",Tempest Blue Metallic,Titan Black,"51,356 miles",Gas,25 city / 36 highway,,Automatic Transmission,FWD,1.8L Inline-4 Gas Inline,"Alameda, CA",Listed 58 days ago,3VWD17AJ7EM424839,424839,0,2,Clean Title,Mixed,12/22/2024
2023 Land Rover Defender 110 V8,https://www.truecar.com/used-cars-for-sale/listing/SALEWEEE0P2215746/2023-land-rover-defender/,Used,"$85,950",Carpathian Grey Premium Metallic,Ebony,"16,658 miles",Gas,14 city / 19 highway,,Automatic Transmission,4WD,5.0L V-8 Gas V,"San Francisco, CA",Listed 5 days ago,SALEWEEE0P2215746,2215746T,0,1,Clean Title,Personal,2/13/2025
2023 Volvo XC40 Recharge Plus,https://www.truecar.com/used-cars-for-sale/listing/YV4ED3UL5P2035936/2023-volvo-xc40-recharge/,Used,"$29,999",Black Stone,Black,"17,554 miles",Electric,,223 mi,Automatic Transmission,AWD,L - Electric,"San Francisco, CA",Listed 17 days ago,YV4ED3UL5P2035936,P2035936,0,2,Clean Title,Fleet,2/1/2025
2019 Jaguar F-PACE Premium 25t,https://www.truecar.com/used-cars-for-sale/listing/SADCJ2FX4KA616828/2019-jaguar-f-pace/,Used,"$21,265",Yulong White Metallic,Ebony/Tonal Stitch,"31,900 miles",Gas,22 city / 27 highway,,Automatic Transmission,AWD,2.0L Inline-4 Gas Inline,"San Francisco, CA",Listed 5 days ago,SADCJ2FX4KA616828,A616828L,0,1,Clean Title,Personal,2/13/2025
2021 Nissan Versa SV CVT,https://www.truecar.com/used-cars-for-sale/listing/3N1CN8EV5ML882733/2021-nissan-versa/,Used,"$13,374",Brilliant Silver Metallic,Graphite,"66,343 miles",Gas,32 city / 40 highway,,Automatic Transmission,FWD,1.6L Inline-4 Gas Inline,"San Francisco, CA",Listed 5 days ago,3N1CN8EV5ML882733,L882733A,0,1,Clean Title,Rental,2/13/2025
2014 Honda Crosstour EX-L V6 with Navigation 4WD,https://www.truecar.com/used-cars-for-sale/listing/5J6TF2H57EL000939/2014-honda-crosstour/,Used,"$19,998",Gray,Black,"63,112 miles",Gas,19 city / 28 highway,,Automatic Transmission,4WD,3.5L V-6 Gas V,"Colma, CA",Listed 9 days ago,5J6TF2H57EL000939,25814706,0,2,Clean Title,Personal,2/4/2025
2018 Hyundai Sonata Plug-In Hybrid Limited 2.0L,https://www.truecar.com/used-cars-for-sale/listing/KMHE54L25JA083038/2018-hyundai-sonata/,Used,"$17,961",Hyper White,Gray,"61,831 miles",Plug-In Hybrid,,,Automatic Transmission,FWD,2.0L Inline-4 Plug-In Hybrid Inline,"Oakland, CA",Listed 10 days ago,KMHE54L25JA083038,258210A,0,1,Clean Title,Personal,2/5/2025
2012 Toyota Prius Three,https://www.truecar.com/used-cars-for-sale/listing/JTDKN3DU7C5400587/2012-toyota-prius/,Used,"$8,495",White,Beige,"137,852 miles",Hybrid,51 city / 48 highway,,Automatic Transmission,FWD,1.8L Inline-4 Hybrid Inline,"Alameda, CA",Listed 31 days ago,JTDKN3DU7C5400587,400587,0,1,Clean Title,Personal,1/18/2025
2016 Toyota Prius Three Touring,https://www.truecar.com/used-cars-for-sale/listing/JTDKARFU2G3503932/2016-toyota-prius/,Used,"$14,885",Magnetic Gray Metallic,Black,"98,546 miles",Hybrid,54 city / 50 highway,,Automatic Transmission,FWD,1.8L Inline-4 Hybrid Inline,"Daly City, CA",Listed 5 days ago,JTDKARFU2G3503932,PRI932,0,1,Clean Title,Fleet,12/24/2024
2021 Tesla Model 3 Performance Dual Motor AWD,https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EC2MF985044/2021-tesla-model-3/,Used,"$22,199",Pearl White Multi-Coat,White/Black,"93,522 miles",Electric,,315 mi,Automatic Transmission,AWD,L - Electric,"San Francisco, CA",Listed 20 days ago,5YJ3E1EC2MF985044,MF985044,0,1,Clean Title,Personal,1/29/2025
2019 Jaguar I-PACE SE,https://www.truecar.com/used-cars-for-sale/listing/SADHC2S16K1F69225/2019-jaguar-i-pace/,Used,"$20,999",Glacier White Metallic,Black,"45,254 miles",Electric,,234 mi,Automatic Transmission,AWD,L - Electric,"San Francisco, CA",Listed 8 days ago,SADHC2S16K1F69225,K1F69225,0,1,Clean Title,Personal,1/18/2025
2023 Volvo XC40 Recharge Plus,https://www.truecar.com/used-cars-for-sale/listing/YV4ED3ULXP2069922/2023-volvo-xc40-recharge/,Used,"$29,399",Black Stone,Blkblue,"23,455 miles",Electric,,223 mi,Automatic Transmission,AWD,L - Electric,"San Francisco, CA",Listed 26 days ago,YV4ED3ULXP2069922,P2069922,0,1,Clean Title,Personal,1/23/2025
